ruleName,path,result.redirectURL,result.statusCode
docs_guides_development_tips-and-tricks_0,/docs/development/tips-and-tricks/,https://www.sitebay.org/docs/guides/development/tips-and-tricks/,301
docs_guides_security_basics_0,/docs/security/basics/,https://www.sitebay.org/docs/guides/security/basics/,301
docs_guides_tools-reference_basics_0,/docs/tools-reference/basics/,https://www.sitebay.org/docs/guides/tools-reference/basics/,301
docs_platform_api_getting-started-with-the-sitebay-api_0,/docs/products/tools/sitebay-api/get-started/,https://www.sitebay.org/docs/platform/api/getting-started-with-the-sitebay-api/,301
docs_platform_api_getting-started-with-the-sitebay-api_1,/docs/platform/api/getting-started-with-the-sitebay-api-new-manager/,https://www.sitebay.org/docs/platform/api/getting-started-with-the-sitebay-api/,301
docs_platform_api_getting-started-with-the-sitebay-api_3,/docs/guides/getting-started-with-the-sitebay-api/,https://www.sitebay.org/docs/platform/api/getting-started-with-the-sitebay-api/,301
docs_platform_api_getting-started-with-the-sitebay-api_4,/docs/products/tools/sitebay-api/guides/build-final-query/,https://www.sitebay.org/docs/platform/api/getting-started-with-the-sitebay-api/,301
docs_guides_how-to-use-cd_0,/docs/quick-answers/sitebay/how-to-use-cd/,https://www.sitebay.org/docs/guides/how-to-use-cd/,301
docs_guides_quick-answers_sitebay-essentials_0,/docs/quick-answers/sitebay-essentials/,https://www.sitebay.org/docs/guides/quick-answers/sitebay-essentials/,301
docs_products_platform_accounts_0,/docs/guides/platform/accounts/,https://www.sitebay.org/docs/products/platform/accounts/,301
docs_products_platform_accounts_guides_change-user-email_0,/docs/quick-answers/platform/how-to-change-your-email/,https://www.sitebay.org/docs/products/platform/accounts/guides/change-user-email/,301
docs_products_platform_accounts_guides_change-user-email_1,/docs/guides/how-to-change-your-email/,https://www.sitebay.org/docs/products/platform/accounts/guides/change-user-email/,301
docs_products_platform_accounts_guides_manage-users_0,/docs/platform/accounts-and-passwords/,https://www.sitebay.org/docs/products/platform/accounts/guides/manage-users/,301
docs_products_platform_accounts_guides_manage-users_1,/docs/accounts-and-passwords/,https://www.sitebay.org/docs/products/platform/accounts/guides/manage-users/,301
docs_products_platform_accounts_guides_manage-users_2,/docs/platform/manager/accounts-and-passwords/,https://www.sitebay.org/docs/products/platform/accounts/guides/manage-users/,301
docs_products_platform_accounts_guides_manage-users_3,/docs/platform/manager/accounts-and-passwords-classic-manager/,https://www.sitebay.org/docs/products/platform/accounts/guides/manage-users/,301
docs_products_platform_accounts_guides_manage-users_4,/docs/platform/manager/accounts-and-passwords-new-manager/,https://www.sitebay.org/docs/products/platform/accounts/guides/manage-users/,301
docs_products_platform_accounts_guides_manage-users_5,/docs/guides/accounts-and-passwords/,https://www.sitebay.org/docs/products/platform/accounts/guides/manage-users/,301
docs_guides_managing-your-sites-with-site-bot-ai_0,/docs/quick-answers/platform/managing-your-sites-with-site-bot-ai,https://www.sitebay.org/docs/guides/managing-your-sites-with-site-bot-ai/,301
docs_products_platform_get-started_guides_network-transfer_0,/docs/platform/billing-and-support/network-transfer-quota/,https://www.sitebay.org/docs/products/platform/get-started/guides/network-transfer/,301
docs_products_platform_get-started_guides_network-transfer_1,/docs/guides/network-transfer-quota/,https://www.sitebay.org/docs/products/platform/get-started/guides/network-transfer/,301
docs_products_platform_get-started_guides_network-transfer_2,/docs/guides/network-transfer/,https://www.sitebay.org/docs/products/platform/get-started/guides/network-transfer/,301
docs_products_platform_accounts_guides_reset-user-password_0,/docs/quick-answers/platform/how-to-change-your-password/,https://www.sitebay.org/docs/products/platform/accounts/guides/reset-user-password/,301
docs_products_platform_accounts_guides_reset-user-password_1,/docs/guides/how-to-change-your-password/,https://www.sitebay.org/docs/products/platform/accounts/guides/reset-user-password/,301
docs_platform_billing-and-support_support_1,/docs/support/,https://www.sitebay.org/docs/platform/billing-and-support/support/,301
docs_platform_billing-and-support_support_2,/docs/platform/support/,https://www.sitebay.org/docs/platform/billing-and-support/support/,301
docs_guides_an-overview-of-mysitebay_0,/docs/platform/manager/an-overview-of-mysitebay/,https://www.sitebay.org/docs/guides/an-overview-of-mysitebay/,301
docs_products_posthog_surveys_0,/docs/quick-answers/sitebay/integrate-posthog-surveys-on-wordpress/,https://www.sitebay.org/docs/products/posthog/surveys/,301
docs_platform_monitoring_0,/docs/platform/longview/,https://www.sitebay.org/docs/platform/monitoring/,301
docs_platform_recording_sitebay-recordings-page_0,/docs/platform/sitebay-recordings-page/,https://www.sitebay.org/docs/platform/recording/sitebay-recordings-page/,301
docs_platform_monitoring_sitebay-status-page_0,/docs/platform/sitebay-status-page/,https://www.sitebay.org/docs/platform/monitoring/sitebay-status-page/,301
docs_products_platform_get-started_guides_status-page_0,/docs/platform/sitebay-status-page/,https://www.sitebay.org/docs/products/platform/get-started/guides/status-page/,301
docs_products_platform_get-started_guides_status-page_1,/docs/guides/sitebay-status-page/,https://www.sitebay.org/docs/products/platform/get-started/guides/status-page/,301
docs_guides_how-to-use-git_0,/docs/quick-answers/sitebay/how-to-use-git/,https://www.sitebay.org/docs/guides/how-to-use-git/,301
docs_guides_how-to-use-git_1,/docs/quick-answers/how-to-use-git/,https://www.sitebay.org/docs/guides/how-to-use-git/,301
docs_guides_how-to-use-git-sync_0,/docs/quick-answers/sitebay/how-to-use-git-sync/,https://www.sitebay.org/docs/guides/how-to-use-git-sync/,301
docs_products_platform_billing_guides_0,/docs/platform/billing-and-support/manage-billing-in-cloud-manager/,https://www.sitebay.org/docs/products/platform/billing/guides/,301
docs_products_platform_billing_guides_1,/docs/guides/manage-billing-in-cloud-manager/,https://www.sitebay.org/docs/products/platform/billing/guides/,301
docs_products_platform_billing_guides_2,/docs/products/tools/billing/guides/,https://www.sitebay.org/docs/products/platform/billing/guides/,301
docs_guides_securing-your-wordpress_0,/docs/securing-your-wordpress/,https://www.sitebay.org/docs/guides/securing-your-wordpress/,301
docs_guides_how-to-use-the-sitebay-alias-command_0,/docs/quick-answers/sitebay/how-to-use-the-sitebay-alias-command/,https://www.sitebay.org/docs/guides/how-to-use-the-sitebay-alias-command/,301
docs_guides_sitebay-dashboard-history_0,/docs/quick-answers/sitebay/site-history-and-restoration/,https://www.sitebay.org/docs/guides/sitebay-dashboard-history/,301
docs_guides_sitebay-dashboard-history_1,/docs/quick-answers/sitebay/using-pit-machine-for-site-restoration/,https://www.sitebay.org/docs/guides/sitebay-dashboard-history/,301
docs_guides_platform_manager_0,/docs/platform/manager/,https://www.sitebay.org/docs/guides/platform/manager/,301
docs_guides_platform_manager_1,/docs/manager/,https://www.sitebay.org/docs/guides/platform/manager/,301
docs_guides_sitebay-writers-formatting-tutorial_0,/docs/sitebay-writers-formatting-tutorial/,https://www.sitebay.org/docs/guides/sitebay-writers-formatting-tutorial/,301
docs_guides_sitebay-writers-formatting-tutorial_1,/docs/sitebay-writers-tutorial/,https://www.sitebay.org/docs/guides/sitebay-writers-formatting-tutorial/,301
docs_guides_sitebay-writers-formatting-tutorial_2,/docs/style-tutorial/,https://www.sitebay.org/docs/guides/sitebay-writers-formatting-tutorial/,301
docs_guides_wordpress-development-on-remote-devices_0,/docs/features/tips-and-tricks/wordpress-development-on-remote-devices,https://www.sitebay.org/docs/guides/wordpress-development-on-remote-devices/,301
docs_guides_wordpress-development-on-remote-devices_1,/docs/development/wordpress-development-on-remote-devices,https://www.sitebay.org/docs/guides/wordpress-development-on-remote-devices/,301
docs_guides_development_tips-and-tricks_advanced-wordpress-development-techniques_0,/docs/features/tips-and-tricks/advanced-wordpress-development-techniques,https://www.sitebay.org/docs/guides/development/tips-and-tricks/advanced-wordpress-development-techniques/,301
docs_guides_development_tips-and-tricks_advanced-wordpress-development-techniques_1,/docs/development/advanced-wordpress-development-techniques,https://www.sitebay.org/docs/guides/development/tips-and-tricks/advanced-wordpress-development-techniques/,301
docs_guides_wordpress-command-line-tips_0,/docs/quick-answers/sitebay/sitebay-command-line-tips/,https://www.sitebay.org/docs/guides/wordpress-command-line-tips/,301
docs_guides_wordpress-command-line-tips_1,/docs/quick-answers/sitebay-command-line-tips/,https://www.sitebay.org/docs/guides/wordpress-command-line-tips/,301
docs_guides_understanding-cloudflares-cdn_0,/docs/guides/cloudflare/get-started/understanding-cloudflares-cdn/,https://www.sitebay.org/docs/guides/understanding-cloudflares-cdn/,301
docs_guides_setting-up-a-custom-email-with-cloudflare_0,/docs/guides/cloudflare/get-started/setting-up-wordpress-with-cloudflare/,https://www.sitebay.org/docs/guides/setting-up-a-custom-email-with-cloudflare/,301
docs_guides_alias-frequently-used-commands_0,/docs/quick-answers/sitebay/alias-frequently-used-commands/,https://www.sitebay.org/docs/guides/alias-frequently-used-commands/,301
docs_guides_compress-files-using-the-command-line_0,/docs/quick-answers/sitebay/compress-files-using-the-command-line/,https://www.sitebay.org/docs/guides/compress-files-using-the-command-line/,301
docs_guides_how-to-use-grep_0,/docs/quick-answers/sitebay/how-to-use-grep/,https://www.sitebay.org/docs/guides/how-to-use-grep/,301
docs_guides_how-to-use-grep_1,/docs/quick-answers/how-to-use-grep/,https://www.sitebay.org/docs/guides/how-to-use-grep/,301
docs_guides_use-code-server-to-edit-files-in-sitebay_0,/docs/quick-answers/use-code-server-to-edit-files-in-sitebay/,https://www.sitebay.org/docs/guides/use-code-server-to-edit-files-in-sitebay/,301
docs_guides_use-code-server-to-edit-files-in-sitebay_1,/docs/quick-answers/sitebay/use-code-server-to-edit-files-in-sitebay/,https://www.sitebay.org/docs/guides/use-code-server-to-edit-files-in-sitebay/,301
docs_guides_connect-an-external-site-to-wordpress_0,/docs/quick-answers/sitebay/connect-an-external-site-to-wordpress,https://www.sitebay.org/docs/guides/connect-an-external-site-to-wordpress/,301
docs_platform_get-started_how-to-choose-a-sitebay-plan_0,/docs/platform/how-to-choose-a-sitebay-plan/,https://www.sitebay.org/docs/platform/get-started/how-to-choose-a-sitebay-plan/,301
docs_guides_grafana-for-wordpress_0,/docs/quick-answers/sitebay/grafana-for-wordpress/,https://www.sitebay.org/docs/guides/grafana-for-wordpress/,301
docs_guides_posthog-data-management_0,/docs/quick-answers/sitebay/how-to-use-posthog/,https://www.sitebay.org/docs/guides/posthog-data-management/,301
docs_guides_posthog-data-management_1,/docs/quick-answers/how-to-use-posthog/,https://www.sitebay.org/docs/guides/posthog-data-management/,301
docs_products_posthog_data-management_0,/docs/quick-answers/sitebay/how-to-use-posthog/,https://www.sitebay.org/docs/products/posthog/data-management/,301
docs_products_posthog_data-management_1,/docs/quick-answers/how-to-use-posthog/,https://www.sitebay.org/docs/products/posthog/data-management/,301
docs_products_time-machine_0,/docs/products/pit-machine/,https://www.sitebay.org/docs/products/time-machine/,301
docs_products_posthog_insights_0,/docs/quick-answers/sitebay/insights/,https://www.sitebay.org/docs/products/posthog/insights/,301
docs_products_posthog_insights_1,/docs/products/posthog/product-analytics/,https://www.sitebay.org/docs/products/posthog/insights/,301
docs_guides_quick-answers_sitebay_0,/docs/quick-answers/sitebay/,https://www.sitebay.org/docs/guides/quick-answers/sitebay/,301
docs_guides_quick-answers_sitebay-platform_0,/docs/quick-answers/platform/,https://www.sitebay.org/docs/guides/quick-answers/sitebay-platform/,301
docs_guides_sitebay-code-server_0,/docs/quick-answers/sitebay/sitebay-code-server/,https://www.sitebay.org/docs/guides/sitebay-code-server/,301
docs_guides_databases_algolia_0,/docs/databases/algolia/,https://www.sitebay.org/docs/guides/databases/algolia/,301
